,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
164,Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300563124/,Москва,sale,flat,22,22,3,63.0,-1,0,24200000,Ярославский, Красная Сосна,3,ВДНХ,Настроение
165,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300148343/,Москва,sale,flat,3,15,3,104.0,-1,0,65200000,Аэропорт,Ленинградский проспект,36с39,Петровский Парк,ВТБ Арена парк
166,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300524818/,Москва,sale,flat,51,68,3,101.0,-1,0,109990000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
167,Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/300178166/,Москва,sale,flat,14,14,3,70.3,-1,0,14900000,Северный,Челобитьевское шоссе,10к3,Марк,
168,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299243580/,Москва,sale,flat,15,19,3,107.0,-1,0,99000000,Раменки,Ломоносовский проспект,25к5,Университет,Dominion
169,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/297577752/,Москва,sale,flat,10,53,3,94.3,-1,0,67000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
170,METRAGE,real_estate_agent,https://www.cian.ru/sale/flat/297496839/,Москва,sale,flat,5,5,3,60.3,-1,0,19990000,Академический, Кржижановского,8К1,Профсоюзная,
171,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301632839/,Москва,sale,flat,53,79,3,112.9,-1,0,135000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
172,ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/295612021/,Москва,sale,flat,16,27,3,65.1,-1,0,38950000,Хорошевский, Зорге,9к2,Зорге,Рихард
173,Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/300341586/,Москва,sale,flat,8,9,3,58.3,-1,0,12290000,Лосиноостровский,Тайнинская ,26,Медведково,
174,Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/sale/flat/298642631/,Москва,sale,flat,5,23,3,128.0,-1,0,73500000,Очаково-Матвеевское,Староволынская ,12к3,Матвеевская,Волынский
175,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/294734371/,Москва,sale,flat,9,21,3,108.0,-1,0,120000000,Пресненский,2-я Звенигородская ,12С19,Улица 1905 года,Lucky
176,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300006309/,Москва,sale,flat,8,8,3,68.8,-1,0,78450000,Тверской,Благовещенский переулок,5,Маяковская,
177,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/297960461/,Москва,sale,flat,4,5,3,130.2,-1,0,215000000,Басманный,Потаповский переулок,6,Чистые пруды,Абрикосов
178,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298998407/,Москва,sale,flat,31,53,3,82.5,-1,0,45400000,Хорошево-Мневники, Народного Ополчения,15К3,Народное Ополчение,Wellton Towers
179,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539729/,Москва,sale,flat,5,5,3,80.0,-1,0,45000000,Тверской,Садовая-Триумфальная ,16С1,Маяковская,
180,Yhome,real_estate_agent,https://www.cian.ru/sale/flat/295314997/,Москва,sale,flat,9,21,3,108.0,-1,0,99700000,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky
181,Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300005884/,Москва,sale,flat,4,6,3,185.0,-1,0,237043397,Хамовники, Остоженка,11,Кропоткинская,Остоженка 11
182,Центральный Департамент Недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/295212920/,Москва,sale,flat,19,24,3,86.0,-1,0,23500000,Северное Бутово, Грина,1к8,Бульвар Дмитрия Донского,
183,RND,real_estate_agent,https://www.cian.ru/sale/flat/297505502/,Москва,sale,flat,8,11,3,144.0,-1,0,122400000,Дорогомилово,Кутузовский проспект,12,Киевская,Кутузовский XII
184,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/291636518/,Москва,sale,flat,5,7,3,172.26,-1,0,394842769,Хамовники, Ефремова,19к4,Спортивная,Knightsbridge Private Park
185,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301704920/,Москва,sale,flat,8,9,3,57.3,-1,0,18500000,Ховрино, Лавочкина,44К1,Речной вокзал,
186,RND,real_estate_agent,https://www.cian.ru/sale/flat/297786925/,Москва,sale,flat,2,11,3,120.5,-1,0,43000000,Крылатское, Крылатские Холмы,47,Крылатское,
187,RND,real_estate_agent,https://www.cian.ru/sale/flat/300367025/,Москва,sale,flat,9,12,3,102.2,-1,0,120000000,Раменки,проспект Генерала Дорохова,39к1Е,Минская,Собрание клубных домов West Garden
188,Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/299562690/,Москва,sale,flat,12,31,3,82.0,-1,0,39500000,Очаково-Матвеевское,Нежинская ,1к2,Давыдково,Кутузовская Ривьера
189,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300835738/,Москва,sale,flat,15,25,3,96.0,-1,0,43000000,Филевский парк,Береговой проезд,5Ак4,Фили,Фили Град
190,Yhome,real_estate_agent,https://www.cian.ru/sale/flat/297776226/,Москва,sale,flat,6,21,3,128.0,-1,0,127000000,Пресненский, Костикова,4к2,Улица 1905 года,Lucky
191,RMRealty,real_estate_agent,https://www.cian.ru/sale/flat/301335894/,Москва,sale,flat,14,35,3,96.0,-1,0,60500000,Щукино,Авиационная ,79Б,Щукинская,Алые Паруса
192,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680510/,Москва,sale,flat,6,13,3,68.7,-1,0,39999999,Раменки,проспект Генерала Дорохова,39к2Б,Минская,Собрание клубных домов West Garden
193,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680584/,Москва,sale,flat,10,14,3,68.4,-1,0,38999999,Раменки,проспект Генерала Дорохова,39к2А,Минская,Собрание клубных домов West Garden
194,Бест офис на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/301294578/,Москва,sale,flat,13,16,3,67.5,-1,0,15990000,Очаково-Матвеевское,Матвеевская ,36К1,Аминьевская,
